Technology,Green roof type,Plant species,Irrigation,PV panel type,PV panels and GR locations,Distance PV-green roof [cm],Distance PV-basecase roof [cm],Season,Base case roof situation,Building type,Base case roof,Base case insulation,Roof slope,Item,Item type,Item scale,Item class,Original monetary value,u.m.,Original year(s) at which the item is accounted,Green roof lifetime [years],Actual year(s) at which the item is accounted,Actual monetary value at the accounting year,Inflation adjustment ratio [GDP deflator 2020/GDP deflator year],PPP Exchange rate [€ EU27-2020/ local currency-2020],Adjusted Monetary value [EU27 2020 €/m2],Method for monetary value,Quantiative absolute evaluation,u.m.3,Method for absolute evaluation,Quantiative absolute evaluation 2,u.m. 3,Method for absolute evaluation 2,Climate,Continent,Country,City,Authors,Year,Title,Study type,"WTP Correction factor [GDPpc,EU27-year/GDPpc,country-year)",Unusable monetary value,Case-study ID,Old inflation correction,Old PPP exchange,Old adjusted value
Green roof,Extensive,,not mentioned,,,,,annual average,To be constructed,office,black roof,,,Aesthetics increase,benefit,building,economic,0.65,2015 US$/m2,every year,50,0,32.5,1.086,0.668,23.58084904,Benefit transfer (based on hedonic pricing),,% increase in property value,,,,,Dfb,North America,USA,"Grand Rapids, MI","Nordman et al,",2018,"Benefit-cost analysis of stormwater green infrastructure practices for Grand Rapids, Michigan, USA",Cost-Benefit Analysis,,,Nordman - Grand Rapids,2.181460776,0.719,50.97528467
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,2.6,2012 US$/m2,0,40,0,2.6,1.136,0.668,1.973705429,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,2.514578536
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,2.6,2012 US$/m2,0,55,0,2.6,1.136,0.668,1.973705429,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,2.514578536
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,8.3,2012 US$/m2,0,40,0,8.3,1.136,0.668,6.300675025,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,8.027308403
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,8.3,2012 US$/m2,0,55,0,8.3,1.136,0.668,6.300675025,Benefit transfer (based on hedonic pricing),02-mag,% increase in proerty value,"Value derived, although a reduction is assumed and introduced, from literature (CABE, 2004)",,,,,Europe,United Kingdom,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,8.027308403
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,27.99,2019 €/m2,0,40,0,27.99,1.012,1.008,28.54989725,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Trieste,1,1.004484305,28.1155157
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,urban,economic,27.99,2019 €/m2,0,40,0,27.99,1.012,1.008,28.54989725,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Trieste,1,1.004484305,28.1155157
Green roof,Extensive,Sedum and aromatic plants,not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,building,economic,28.19,2017 €/m2,0,40,0,28.19,1.031,1.008,30.2197513,WTP stated preference (using intermediate values from literature),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2018,Enhancing the environmental performance of industrial settlements. An economic evaluation of extensive green roof competitiveness,Cost-Benefit Analysis,1.03,,Berto 2018- Trieste,1.619024104,0.995652174,45.44185345
Green roof,Extensive,Sedum and aromatic plants,not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,building,economic,28.19,2017 €/m2,0,40,0,28.19,1.031,1.008,30.2197513,WTP stated preference (using intermediate values from literature),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2018,Enhancing the environmental performance of industrial settlements. An economic evaluation of extensive green roof competitiveness,Cost-Benefit Analysis,1.03,,Berto 2018- Trieste,1.619024104,0.995652174,45.44185345
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,48.62,2019 €/m2,0,40,0,48.62,1.012,1.008,49.59256893,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Csa,Europe,Italy,Palermo,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Palermo,1,1.004484305,48.83802691
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,urban,economic,48.62,2019 €/m2,0,40,0,48.62,1.012,1.008,49.59256893,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Csa,Europe,Italy,Palermo,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Palermo,1,1.004484305,48.83802691
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,59.6,2019 €/m2,0,40,0,59.6,1.012,1.008,60.79220708,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Ancona,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Ancona,1,1.004484305,59.86726457
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,urban,economic,59.6,2019 €/m2,0,40,0,59.6,1.012,1.008,60.79220708,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Ancona,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Ancona,1,1.004484305,59.86726457
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,69.97,2019 €/m2,0,40,0,69.97,1.012,1.008,71.36964311,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Trieste,1,1.004484305,70.28376682
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,urban,economic,69.97,2019 €/m2,0,40,0,69.97,1.012,1.008,71.36964311,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Trieste,1,1.004484305,70.28376682
Green roof,Extensive,Sedum and aromatic plants,not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,building,economic,70.47,2017 €/m2,0,40,0,70.47,1.031,1.008,75.54401824,WTP stated preference (using intermediate values from literature),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2018,Enhancing the environmental performance of industrial settlements. An economic evaluation of extensive green roof competitiveness,Cost-Benefit Analysis,1.03,,Berto 2018- Trieste,1.619024104,0.995652174,113.5965737
Green roof,Extensive,Sedum and aromatic plants,not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,building,economic,70.47,2017 €/m2,0,40,0,70.47,1.031,1.008,75.54401824,WTP stated preference (using intermediate values from literature),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Trieste,"Berto et al.,",2018,Enhancing the environmental performance of industrial settlements. An economic evaluation of extensive green roof competitiveness,Cost-Benefit Analysis,1.03,,Berto 2018- Trieste,1.619024104,0.995652174,113.5965737
Green roof,Extensive,,yes,,,,,annual average,Already constructed,,black roof,,,Aesthetics increase,benefit,building,economic,72.02,2017 UYU/m2,every year,30,0,2160.675,1.289,0.023,65.37446217,,,,,,,,Cfa,South America,Uruguay,Montevideo,"Vincent et al.,",2017,Enhancing the Economic Value of Large Investments in Sustainable Drainage Systems (SuDS) through Inclusion of Econsystems Services Benefits,Cost-Benefit Analysis,,,Vincent - Montevideo,1.619024104,0.687,83.42021695
Green roof,Extensive,,yes,,,,,annual average,Already constructed,primary school,,,flat,Aesthetics increase,benefit,building,economic,92.37,2020 €/m2,0,40,0,92.3712,1,1.173,108.3579616,Benefit transfer (based on hedonic pricing),3,% increase in property value,"Value adapted from liteature (Bianchini and Hewage, 2012)",,,,Csa,Europe,Portugal,Lisbon,"Almeida et al.,",2020,Socioeconomic feasibility of green roofs and walls in public buildings: The case study of primary schoools in Portugal,Cost-Benefit Analysis,,,Almeida - Lisbon1,1,1.171929825,108.2525642
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,slanted,Aesthetics increase,benefit,building,economic,105.16,2017 €/m2,0,40,0,105.16,1.06,1.173,130.8174907,Benefit transfer (based on hedonic pricing),5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,203.0664355
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,insulated,flat,Aesthetics increase,benefit,building,economic,105.16,2017 €/m2,0,40,0,105.16,1.06,1.173,130.8174907,Benefit transfer (based on hedonic pricing),5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,203.0664355
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,flat,Aesthetics increase,benefit,building,economic,105.16,2017 €/m2,0,40,0,105.16,1.06,1.173,130.8174907,Benefit transfer (based on hedonic pricing),5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,203.0664355
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,commercial,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,105.16,2017 €/m2,0,40,0,105.16,1.06,1.173,130.8174907,Benefit transfer (based on hedonic pricing),5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,203.0664355
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,slanted,Aesthetics increase,benefit,building,economic,116.13,2017 €/m2,0,40,0,116.13,1.06,1.173,144.464009,Benefit transfer (based on hedonic pricing),3.5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,224.2497638
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,insulated,flat,Aesthetics increase,benefit,building,economic,116.13,2017 €/m2,0,40,0,116.13,1.06,1.173,144.464009,Benefit transfer (based on hedonic pricing),3.5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,224.2497638
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,flat,Aesthetics increase,benefit,building,economic,116.13,2017 €/m2,0,40,0,116.13,1.06,1.173,144.464009,Benefit transfer (based on hedonic pricing),3.5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,224.2497638
Photovoltaic-green roof,Extensive,,not mentioned,,Same location,,,annual average,To be constructed,residential,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,116.13,2017 €/m2,0,40,0,116.13,1.06,1.173,144.464009,Benefit transfer (based on hedonic pricing),3.5,% increase in property value,"Value adapted from literature (adapted from Bianchini and Hewage, 2012; CABE, 2004; CABE, 2005)",,,,Csa,Europe,Portugal,Lisbon,"Teotónio et al,,",2018,Eco-solutions for urban environments regeneration,Cost-Benefit Analysis,,,Teotonio - Lisbon,1.619024104,1.192708333,224.2497638
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,122.29,2019 €/m2,0,40,0,122.29,1.012,1.008,124.7362249,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Csa,Europe,Italy,Palermo,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Palermo,1,1.004484305,122.8383857
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,urban,economic,122.29,2019 €/m2,0,40,0,122.29,1.012,1.008,124.7362249,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Csa,Europe,Italy,Palermo,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Palermo,1,1.004484305,122.8383857
Green roof,Extensive,,yes,,,,,annual average,Already constructed,primary school,,,slanted,Aesthetics increase,benefit,building,economic,131.96,2020 €/m2,0,40,0,131.9571,1,1.173,154.7950771,Benefit transfer (based on hedonic pricing),3,% increase in property value,"Value adapted from liteature (Bianchini and Hewage, 2012)",,,,Csa,Europe,Portugal,Lisbon,"Almeida et al.,",2020,Socioeconomic feasibility of green roofs and walls in public buildings: The case study of primary schoools in Portugal,Cost-Benefit Analysis,,,Almeida - Lisbon2,1,1.171929825,154.6445113
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,Already constructed,industrial,black roof,non-insulated,flat,Aesthetics increase,benefit,urban,economic,149,2019 €/m2,0,40,0,149,1.012,1.008,151.9805177,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Ancona,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Ancona,1,1.004484305,149.6681614
Green roof,Extensive,"Sedum and aromatic plants (e.g., Lavadula angustifolia)",not mentioned,,,,,annual average,To be constructed,industrial,white roof,insulated,flat,Aesthetics increase,benefit,urban,economic,149,2019 €/m2,0,40,0,149,1.012,1.008,151.9805177,Benefit transfer (based on WTP stated preference),82-205,€ of WTP/property unit,"Value adapted from literature (Rosato and Rotaris, 2014)",,,,Cfa,Europe,Italy,Ancona,"Berto et al.,",2020,The Valuation of Public and Private Benefits of Green Roof Retrofit in Different Climate Conditions,Cost-Benefit Analysis,,,Berto 2020 - Ancona,1,1.004484305,149.6681614
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,residential,black roof,,,Aesthetics increase,benefit,building,economic,352.94,2018 €/m2,0,50,0,352.94,1.038,0.896,328.3399095,Benefit transfer (based on hedonic pricing),3.5,% increase in property value,"Value adapted from literature (Bianchini & Hewage, 2012)",,,,Cfb,Europe,Germany,Berlin,"Johnson & Geisendorf,",2019,Are Neighborhood-level SUDS Worth it? An assessment of the Economic Value of Sustainable Urban Drainage System Scenarios Using Cost-Benefit Analyses,Cost-Benefit Analysis,,,Johnson & Geisendor - Berlin,1.096062997,0.919945726,355.8759207
Green roof,Semi-intensive,,,,,,,annual average,Already constructed,mix of multiple,black roof,,,Aesthetics increase,benefit,building,economic,10021.09,2016 KRW/m2,every year,10,0,100210.88,1.03,0.001,80.04823155,,,,,,,,Cwa,Asia,South Korea,Seoul,"Gwak et al.,",2017,Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,Cost-Benefit Analysis,,,Gwak - Seoul,2.508207583,0.694,144.4777732
Green roof,Semi-intensive,,,,,,,annual average,Already constructed,mix of multiple,black roof,,,Aesthetics increase,benefit,building,economic,17542.94,2016 KRW/m2,every year,10,0,175429.408,1.03,0.001,140.132627,,,,,,,,Cwa,Asia,South Korea,Seoul,"Gwak et al.,",2017,Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,Cost-Benefit Analysis,,,Gwak - Seoul,2.508207583,0.694,252.9231379
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,,2011 €/m2,0,50,not accounted,,1.145,0.889,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis,,x,Claus  Rousseau - Dilbeek,1.355793717,0.895432692,
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,,2011 €/m2,0,50,not accounted,,1.145,0.889,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis,,x,Claus  Rousseau - Dilbeek,1.355793717,0.895432692,
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Aesthetics increase,benefit,building,economic,,2011 €/m2,0,50,not accounted,,1.145,0.889,,Not considered (difficulties in quantification),,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis,,x,Claus  Rousseau - Dilbeek,1.355793717,0.895432692,
Green roof,Extensive,,no,,,,,annual average,To be constructed,,black roof,,flat,Aesthetics increase,benefit,urban,socio-environmental,,2019 KRW/m2,0,not mentioned,not accounted,,1.013,0.001,,Not considered,,,,,,,Cwa,Asia,South Korea,Seoul,"Shin & Kim,",2018,Analysing Green Roof Effects in an Urban Environment: A Case of Bangbae dong Seoul,Cost-Benefit Analysis,,x,Shin & Kim 2018 - Seoul,1,0.000773685,
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,3.17,2012 US$/m2,0,40,0,3.17,,0.668,0,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,3.065851523
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,3.17,2012 US$/m2,0,55,0,3.17,,0.668,0,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,3.065851523
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,13.98,2012 US$/m2,0,40,0,13.98,,0.668,0,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,13.52069536
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,13.98,2012 US$/m2,0,55,0,13.98,,0.668,0,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,13.52069536
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,22.07,2012 US$/m2,0,40,0,22.07,,0.668,0,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,21.34490319
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,any,black roof,any,any,Air pollution from green roof production,cost,urban,socio-environmental,22.07,2012 US$/m2,0,55,0,22.07,,0.668,0,Market value (NOx tax),,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,21.34490319
Green roof,Extensive,,yes,,,,,annual average,Already constructed,,black roof,,,Air pollution from green roof production,cost,urban,socio-environmental,518.56,2017 UYU/m2,0,30,0,518.562,1.289,0.023,15.68987092,,,,,,,,Cfa,South America,Uruguay,Montevideo,"Vincent et al.,",2017,Enhancing the Economic Value of Large Investments in Sustainable Drainage Systems (SuDS) through Inclusion of Econsystems Services Benefits,Cost-Benefit Analysis,,,Vincent - Montevideo,1.619024104,0.687,20.02085207
Green roof,Semi-intensive,,,,,,,annual average,Already constructed,mix of multiple,black roof,,,Air pollution from green roof production,cost,urban,socio-environmental,7123.42,2016 KRW/m2,0,10,0,7123.424,1.03,0.001,5.690175496,,,,,,,,Cwa,Asia,South Korea,Seoul,"Gwak et al.,",2017,Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,Cost-Benefit Analysis,,,Gwak - Seoul,2.508207583,0.694,10.27010677
Green roof,Semi-intensive,,,,,,,annual average,Already constructed,mix of multiple,black roof,,,Air pollution from green roof production,cost,urban,socio-environmental,7123.42,2016 KRW/m2,0,10,0,7123.424,1.03,0.001,5.690175496,,,,,,,,Cwa,Asia,South Korea,Seoul,"Gwak et al.,",2017,Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,Cost-Benefit Analysis,,,Gwak - Seoul,2.508207583,0.694,10.27010677
Green roof,Semi-intensive,,,,,,,annual average,Already constructed,mix of multiple,black roof,,,Air pollution from green roof production,cost,urban,socio-environmental,16975.48,2016 KRW/m2,0,10,0,16975.4816,1.03,0.001,13.55997754,,,,,,,,Cwa,Asia,South Korea,Seoul,"Gwak et al.,",2017,Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,Cost-Benefit Analysis,,,Gwak - Seoul,2.508207583,0.694,24.47418664
Green roof,Semi-intensive,,,,,,,annual average,Already constructed,mix of multiple,black roof,,,Air pollution from green roof production,cost,urban,socio-environmental,16975.48,2016 KRW/m2,0,10,0,16975.4816,1.03,0.001,13.55997754,,,,,,,,Cwa,Asia,South Korea,Seoul,"Gwak et al.,",2017,Optimal location selection for the installation of urban green roofs considering honeybee habitats along with socio-economic and environmental effects,Cost-Benefit Analysis,,,Gwak - Seoul,2.508207583,0.694,24.47418664
Green roof,Extensive,Sedum,not mentioned,,,,,annual average,To be constructed,office,black roof,non-insulated,slanted,Air quality enhancement,benefit,urban,socio-environmental,0.012,2011 €/m2,every year,50,every year,0.0124,1.145,0.889,0.012625253,"Avoided cost (health cost of NO2 emissions, avoided through uptake)",,,,,,,Cfb,Europe,Belgium,Dilbeek,"Claus and Rousseau,",2012,Public versus private incentives to invest in green roofs: a cost benefit analysis for Flanders,Cost-Benefit Analysis,,,Claus  Rousseau - Dilbeek,1.355793717,0.895432692,0.015053873
Green roof,Extensive,,not mentioned,,,,,annual average,Already constructed,,black roof,,,Air quality enhancement,benefit,urban,socio-environmental,0.03,2012 US$/m2,every year,40,every year,0.0265,,0.668,0,"Avoided cost (NO2 emission credit, due to uptake)",,,,,,,,,,,"Bianchini & Hewage,",2012,Probabilistic social cost-benefit analysis for green roofs: A lifecycle approach,Cost-Benefit Analysis,,,,1.308722044,0.739,0.025629358
